metric,original,mitigated
accuracy,0.7533333333333333,0.76
roc_auc,0.8077445652173912,0.81061872909699
stat_parity_diff,-0.22135007849293564,-0.09909733124018838
disparate_impact,0.7354596622889306,0.8762861342479177
equal_opp_diff,-0.15274736732353256,-0.05870086539464081
avg_odds_diff,-0.23502030020311965,-0.09576647279757103
